subject,subjNum,condition,runNum,trial,playerNum,endowment,propReturned,returned,trialRT,optimal_choice,binned_trial_num
2,4002,1,2,41,4,10,0.25,10,0.822055766,10,11
2,4002,1,2,42,2,10,0.45,18,0.614771799,10,13
2,4002,1,2,43,3,5,0.15,3,2.083284115,0,10
2,4002,1,2,44,1,0,0,0,1.787098777,0,10
2,4002,1,2,45,4,10,0.25,10,1.285356744,10,12
2,4002,1,2,46,1,2.5,0.15,1.5,1.1787736,0,11
2,4002,1,2,47,1,0,0,0,0.955096741,0,12
2,4002,1,2,48,3,2.5,0.35,3.5,1.262044739,10,11
2,4002,1,2,49,2,10,0.35,14,0.933382972,10,14
2,4002,1,2,50,4,10,0,0,0.928542922,0,13
2,4002,1,2,51,1,0,0.1,0,1.183185743,0,13
2,4002,1,2,52,3,5,0.3,6,1.813773043,10,12
2,4002,1,2,53,1,0,0.1,0,0.762012078,0,14
2,4002,1,2,54,3,7.5,0.25,7.5,1.5778417,10,13
2,4002,1,2,55,4,10,0.2,8,0.983012381,0,14
2,4002,1,2,56,3,7.5,0.25,7.5,1.905719477,10,14
2,4002,1,2,57,4,10,0.2,8,1.017049959,0,15
2,4002,1,2,58,3,7.5,0.25,7.5,1.927691487,10,15
2,4002,1,2,59,2,10,0.4,16,1.946472688,10,15
2,4002,1,2,60,1,0,0.05,0,1.653927236,0,15
3,4003,1,1,1,1,2.5,0,0,1.500770949,0,1
3,4003,1,1,2,1,-1,0.05,-1,-1,0,2
3,4003,1,1,3,3,2.5,0.25,2.5,1.278302069,10,1
3,4003,1,1,4,4,2.5,0.5,5,1.488424214,10,1
3,4003,1,1,5,2,2.5,0.45,4.5,1.921355815,10,1
3,4003,1,1,6,2,5,0.5,10,2.208418183,10,2
3,4003,1,1,7,3,5,0.15,3,2.06960161,0,2
3,4003,1,1,8,4,2.5,0.3,3,2.113763324,10,2
3,4003,1,1,9,1,0,0.1,0,0.837838236,0,3
3,4003,1,1,10,4,2.5,0.05,0.5,1.534526906,0,3
3,4003,1,1,11,3,2.5,0.3,3,2.152378414,10,3
3,4003,1,1,12,4,2.5,0.45,4.5,1.478022691,10,4
3,4003,1,1,13,2,5,0.35,7,1.667924281,10,3
3,4003,1,1,14,2,5,0.5,10,1.858882638,10,4
3,4003,1,1,15,1,10,0.2,8,2.236460526,0,4
3,4003,1,1,16,3,2.5,0.25,2.5,1.079362454,10,4
3,4003,1,1,17,1,0,0.05,0,0.935815231,0,5
3,4003,1,1,18,4,2.5,0.3,3,0.948957636,10,5
3,4003,1,1,19,2,0,0.45,0,1.527075409,10,5
3,4003,1,1,20,2,2.5,0.5,5,1.347013945,10,6
3,4003,1,1,21,3,2.5,0.2,2,1.473903921,0,5
3,4003,1,1,22,3,2.5,0.3,3,0.879193097,10,6
3,4003,1,1,23,1,-1,0.05,-1,-1,0,6
3,4003,1,1,24,4,2.5,0.25,2.5,1.035017932,10,6
3,4003,1,1,25,3,5,0.25,5,1.241452387,10,7
3,4003,1,1,26,4,2.5,0.1,1,1.723942151,0,7
3,4003,1,1,27,1,0,0.1,0,1.785458169,0,7
3,4003,1,1,28,4,-1,0.2,-1,-1,0,8
3,4003,1,1,29,4,2.5,0.25,2.5,0.906266225,10,9
3,4003,1,1,30,2,7.5,0.4,12,1.293119918,10,7
3,4003,1,2,31,2,7.5,0.4,12,2.937153253,10,8
3,4003,1,2,32,1,0,0.05,0,0.054596936,0,8
3,4003,1,2,33,2,0,0.3,0,2.12021597,10,9
3,4003,1,2,34,2,5,0.5,10,1.038498091,10,10
3,4003,1,2,35,2,5,0.45,9,0.994518455,10,11
3,4003,1,2,36,3,2.5,0.35,3.5,2.110871323,10,8
3,4003,1,2,37,3,2.5,0.25,2.5,1.184306102,10,9
3,4003,1,2,38,2,7.5,0.35,10.5,1.344666991,10,12
3,4003,1,2,39,3,2.5,0.15,1.5,1.133718339,0,10
3,4003,1,2,40,4,2.5,0,0,2.036064589,0,10
3,4003,1,2,41,3,0,0.2,0,0.841141504,0,11
3,4003,1,2,42,3,2.5,0.25,2.5,1.580570577,10,12
3,4003,1,2,43,4,0,0.15,0,1.36973175,0,11
3,4003,1,2,44,4,0,0.25,0,2.115137281,10,12
3,4003,1,2,45,1,0,0,0,0.998858303,0,9
3,4003,1,2,46,4,0,0.2,0,0.916855112,0,13
3,4003,1,2,47,4,0,0.4,0,1.069476294,10,14
3,4003,1,2,48,1,0,0.15,0,0.801315958,0,10
3,4003,1,2,49,3,2.5,0.35,3.5,2.732984494,10,13
3,4003,1,2,50,3,2.5,0.2,2,0.914503242,0,14
3,4003,1,2,51,2,7.5,0.5,15,0.923041591,10,13
3,4003,1,2,52,4,0,0.35,0,0.967171918,10,15
3,4003,1,2,53,1,0,0,0,0.806582444,0,11
3,4003,1,2,54,1,0,0.15,0,1.99730027,0,12
3,4003,1,2,55,2,7.5,0.45,13.5,1.145019215,10,14
3,4003,1,2,56,1,0,0.1,0,1.044730654,0,13
3,4003,1,2,57,3,2.5,0.3,3,2.655234722,10,15
3,4003,1,2,58,1,0,0,0,1.02604202,0,14
3,4003,1,2,59,1,2.5,0,0,2.225780315,0,15
3,4003,1,2,60,2,0,0.4,0,0.06485498,10,15
4,4004,1,1,1,3,0,0.2,0,1.49664409,0,1
4,4004,1,1,2,4,2.5,0.3,3,1.173304162,10,1
4,4004,1,1,3,1,5,0.05,1,0.864779412,0,1
4,4004,1,1,4,1,2.5,0.15,1.5,1.51836793,0,2
4,4004,1,1,5,2,5,0.45,9,1.501330958,10,1
4,4004,1,1,6,2,10,0.4,16,0.79509752,10,2
4,4004,1,1,7,2,10,0.5,20,0.93809101,10,3
4,4004,1,1,8,4,0,0,0,0.932379299,0,2
4,4004,1,1,9,1,2.5,0.1,1,2.325042568,0,3
4,4004,1,1,10,4,5,0.35,7,1.391049282,10,3
4,4004,1,1,11,3,5,0.25,5,1.580346803,10,2
4,4004,1,1,12,4,10,0.2,8,1.099940705,0,4
4,4004,1,1,13,2,10,0.5,20,1.064651665,10,4
4,4004,1,1,14,3,2.5,0.3,3,1.400630788,10,3
4,4004,1,1,15,2,10,0.5,20,1.151710626,10,5
4,4004,1,1,16,3,5,0.25,5,1.706118988,10,4
4,4004,1,1,17,3,7.5,0.3,9,1.155972142,10,5
4,4004,1,1,18,3,7.5,0.35,10.5,0.98965681,10,6
4,4004,1,1,19,1,0,0.15,0,0.962816885,0,4
4,4004,1,1,20,1,0,0,0,0.54716024,0,5
4,4004,1,1,21,3,7.5,0.2,6,1.324750837,0,7
4,4004,1,1,22,2,10,0.45,18,0.768510704,10,6
4,4004,1,1,23,2,10,0.4,16,0.871674382,10,7
4,4004,1,1,24,3,7.5,0.3,9,1.318643548,10,8
4,4004,1,1,25,1,0,0.2,0,0.773881876,0,6
4,4004,1,1,26,1,0,0,0,0.660061991,0,7
4,4004,1,1,27,3,7.5,0.25,7.5,1.21862827,10,9
4,4004,1,1,28,1,0,0,0,0.725855916,0,8
4,4004,1,1,29,3,7.5,0.25,7.5,1.059125278,10,10
4,4004,1,1,30,2,10,0.45,18,0.825051189,10,8
4,4004,1,2,31,1,0,0,0,1.140301548,0,9
4,4004,1,2,32,1,2.5,0.05,0.5,1.187443478,0,10
4,4004,1,2,33,3,5,0.25,5,0.681252869,10,11
4,4004,1,2,34,2,10,0.4,16,0.77724896,10,9
4,4004,1,2,35,1,0,0.1,0,0.698845459,0,11
4,4004,1,2,36,3,5,0.2,4,1.090989275,0,12
4,4004,1,2,37,4,5,0.1,2,1.836287995,0,5
4,4004,1,2,38,4,0,0.25,0,0.825260698,10,6
4,4004,1,2,39,4,0,0.15,0,0.684507273,0,7
4,4004,1,2,40,4,10,0.05,2,1.65107844,0,8
4,4004,1,2,41,4,0,0.45,0,0.645667379,10,9
4,4004,1,2,42,2,10,0.3,12,0.774732894,10,10
4,4004,1,2,43,1,0,0.1,0,1.330172912,0,12
4,4004,1,2,44,1,0,0.05,0,0.723442252,0,13
4,4004,1,2,45,2,10,0.5,20,0.759315424,10,11
4,4004,1,2,46,4,0,0.25,0,1.198776394,10,10
4,4004,1,2,47,3,5,0.15,3,1.329486488,0,13
4,4004,1,2,48,3,2.5,0.35,3.5,1.2104233,10,14
4,4004,1,2,49,3,2.5,0.15,1.5,1.208548624,0,15
4,4004,1,2,50,2,10,0.45,18,0.640429133,10,12
4,4004,1,2,51,4,0,0.2,0,0.596742524,0,11
4,4004,1,2,52,2,10,0.35,14,0.795497515,10,13
4,4004,1,2,53,1,0,0,0,0.782614273,0,14
4,4004,1,2,54,4,0,0.25,0,0.885595248,10,12
4,4004,1,2,55,1,0,0.05,0,1.029861003,0,15
4,4004,1,2,56,4,0,0.5,0,0.764267255,10,13
4,4004,1,2,57,4,0,0.3,0,0.597572017,10,14
4,4004,1,2,58,2,10,0.35,14,0.94877597,10,14
4,4004,1,2,59,4,0,0.4,0,0.719939333,10,15
4,4004,1,2,60,2,10,0.5,20,0.93929648,10,15
5,4005,1,1,1,3,7.5,0.25,7.5,2.733976495,10,1
5,4005,1,1,2,1,7.5,0,0,1.706721329,0,1
5,4005,1,1,3,4,7.5,0.45,13.5,1.933752204,10,1
5,4005,1,1,4,1,7.5,0.05,1.5,2.130761429,0,2
5,4005,1,1,5,1,5,0.1,2,1.608938223,0,3
5,4005,1,1,6,4,7.5,0.35,10.5,1.717456606,10,2
5,4005,1,1,7,2,7.5,0.5,15,1.639269388,10,1
5,4005,1,1,8,1,2.5,0.05,0.5,1.494541124,0,4
5,4005,1,1,9,1,5,0,0,1.942569423,0,5
5,4005,1,1,10,1,0,0.2,0,1.14284933,0,6
5,4005,1,1,11,2,7.5,0.4,12,1.18974815,10,2
5,4005,1,1,12,4,7.5,0.25,7.5,1.284228073,10,3
5,4005,1,1,13,2,-1,0.5,-1,-1,10,3
5,4005,1,1,14,3,7.5,0.3,9,1.656694202,10,2
5,4005,1,1,15,1,2.5,0.15,1.5,1.537332319,0,7
5,4005,1,1,16,4,7.5,0.3,9,1.790595622,10,4
5,4005,1,1,17,2,7.5,0.5,15,1.581795309,10,4
5,4005,1,1,18,1,2.5,0.1,1,1.644123149,0,8
5,4005,1,1,19,3,7.5,0.25,7.5,1.577200524,10,3
5,4005,1,1,20,4,10,0.1,4,0.979334885,0,5
5,4005,1,1,21,4,5,0.25,5,1.379414167,10,6
5,4005,1,1,22,2,7.5,0.35,10.5,1.811069449,10,5
5,4005,1,1,23,2,7.5,0.35,10.5,1.47011644,10,6
5,4005,1,1,24,3,5,0.25,5,1.896491471,10,4
5,4005,1,1,25,3,5,0.2,4,1.231758517,0,5
5,4005,1,1,26,2,7.5,0.3,9,1.762337543,10,7
5,4005,1,1,27,4,7.5,0.2,6,1.722319134,0,7
5,4005,1,1,28,4,2.5,0.4,4,1.38833722,10,8
5,4005,1,1,29,3,5,0.25,5,1.453749722,10,6
5,4005,1,1,30,2,5,0.4,8,1.259579655,10,8
5,4005,1,2,31,1,0,0.05,0,1.652486728,0,9
5,4005,1,2,32,2,7.5,0.4,12,1.230713919,10,9
5,4005,1,2,33,1,0,0.1,0,1.481229662,0,10
