subject,condition,trial,delta,q_val
5,1,25,-1.968423752,0.837387288
5,1,26,-0.047387158,1.544232631
5,1,27,-2.528226347,0.859924253
5,1,28,0.640075747,0.88991797
5,1,29,-0.755826375,0.705511591
5,1,30,1.571517247,1.502123479
5,1,31,0.008716993,-0.008308518
5,1,32,2.997294498,1.643157631
5,1,33,-0.19181711,0.179047991
5,1,34,4.366099378,1.83849445
5,1,35,-2.970567019,0.272818644
5,1,36,-1.297981784,1.211576129
5,1,37,-2.087411224,0.948453856
5,1,38,-3.110838582,0.903752437
5,1,39,0.040686635,-0.038780074
5,1,40,4.615652491,1.600635305
5,1,41,-0.609224128,1.068668544
5,1,42,-1.568668544,0.964243479
5,1,43,4.504468837,1.706608933
5,1,44,0.734998737,1.299443036
5,1,45,-0.514129897,0.479904663
5,1,46,-3.274631353,1.056641649
5,1,47,-2.821872395,0.134022507
5,1,48,-2.920459328,0.726046584
5,1,49,0.006917575,-0.00659342
5,1,50,-6.999874528,0.533898234
5,1,51,-0.388697596,0.362822294
5,1,52,4.060389833,1.129878557
5,1,53,-0.633929475,0.591729275
5,1,54,2.9007146,1.23521183
5,1,55,-0.285406382,0.766407098
5,1,56,0.064442597,0.93857716
5,1,57,-8.43857716,0.376827532
5,1,58,2.123172468,0.476318621
5,1,59,-1.476318621,0.378041219
5,1,60,1.610985928,0.964504287
6,1,1,-0.905466479,-0.459482412
6,1,2,2.094533521,0.753938765
6,1,3,0.459482412,-0.383037282
6,1,4,0.24525249,0.795550722
6,1,5,-0.405466479,0.018143713
6,1,6,0.094533521,0.421194235
6,1,7,0.382605608,-0.318950646
6,1,8,1.578132333,0.684425118
6,1,9,0.478405149,0.101188199
6,1,10,6.700156089,1.914564055
6,1,11,8.085435945,3.259756346
6,1,12,-0.211291613,0.509454824
6,1,13,-0.127212642,0.00569248
6,1,14,-1.009454824,-0.454829167
6,1,15,0.454829167,-0.379158208
6,1,16,0.379158208,-0.316076798
6,1,17,0.316076798,-0.263490386
6,1,18,0,0.007716727
6,1,19,6.738219409,4.382833416
6,1,20,-2.019576814,-1.90962848
6,1,21,0.25163031,-0.209766005
6,1,22,-1.225020775,-1.445183075
6,1,23,1.909185587,-1.591550057
6,1,24,0.206405613,-0.172065444
6,1,25,1.441459377,-1.201640516
6,1,26,0.1695283,-0.141323492
6,1,27,1.588351223,-1.324093632
6,1,28,1.198546434,-0.999141549
6,1,29,1.321984045,-1.102042565
6,1,30,5.602932337,5.329240206
6,1,31,0.986952852,-0.822751271
6,1,32,-3.330977363,2.149053745
6,1,33,-1.67724871,-2.424946892
6,1,34,2.424946892,-2.021502986
6,1,35,2.021502986,-1.685180955
6,1,36,1.685180955,-1.404813583
6,1,37,-0.095186417,-1.495740622
6,1,38,1.840153847,2.465996716
6,1,39,3.534003284,3.053956847
6,1,40,-0.897759201,-0.959827295
6,1,41,4.946043158,3.876841244
6,1,42,1.061486371,-0.884884479
6,1,43,0.884884479,-0.737664244
6,1,44,0.737664244,-0.614937373
6,1,45,0.614937373,-0.51262885
6,1,46,0.945315063,-0.788040855
6,1,47,0.51096498,-0.425954579
6,1,48,0.425954579,-0.355087551
6,1,49,1.468456261,-1.224145867
6,1,50,4.111454538,4.572577466
6,1,51,1.427422534,4.810060986
6,1,52,0.774058001,-0.645276219
6,1,53,0.645276219,-0.537920153
6,1,54,3.187440813,5.342860934
6,1,55,1.206288283,-1.005595369
6,1,56,0.33252209,-0.277199637
6,1,57,2.654430572,5.787193054
6,1,58,1.000337968,-0.833909475
6,1,59,0.523168537,-0.436127802
6,1,60,0.210125388,5.824833648
7,1,1,-0.002987191,0.002986898
7,1,2,1.497012809,0.802293956
7,1,3,1.697706044,1.708757761
7,1,4,0,1.708757761
7,1,5,4.291242239,3.999999982
7,1,6,1.82E-08,3.999999992
7,1,7,-7.737891622,0.23713171
7,1,8,6.577991097,4.934225201
7,1,9,0,0
7,1,10,0,0
7,1,11,-0.002987191,0.002986898
7,1,12,-0.933229975,4.933138325
7,1,13,-0.692067764,-0.308000201
7,1,14,-1.952653684,-0.04753808
7,1,15,0.958555164,-0.446749505
7,1,16,3.410391632,5.910534072
7,1,17,-1.62382527,0.1236658
7,1,18,-0.146015407,-0.853998933
7,1,19,1.60833937,-0.749591514
7,1,20,0.790914982,-0.368618197
7,1,21,0.368618197,-0.17180023
7,1,22,0.570549719,5.734086452
7,1,23,0.681732414,-0.317731967
7,1,24,-4.232701309,0.23228563
7,1,25,3.149359911,6.032191956
7,1,26,-1.532191956,6.032041484
7,1,27,1.919812475,-0.894758387
7,1,28,0.894758387,-0.417016027
7,1,29,-3.142437494,6.142128885
7,1,30,0.051415244,-3.023962872
7,1,31,1.961948101,-0.41439635
7,1,32,2.947009315,-1.37349941
7,1,33,-5.103349196,-0.897151987
7,1,34,0.897151987,-0.418131601
7,1,35,-2.171623798,4.67141053
7,1,36,4.262073404,-1.48640543
7,1,37,3.020208245,-0.907614907
7,1,38,1.367943698,-0.637551382
7,1,39,0.137551382,-0.564107956
7,1,40,-3.203043627,-0.797270933
7,1,41,-0.202729067,-0.797290842
7,1,42,2.483247508,-0.657356025
7,1,43,5.60139014,1.389385227
7,1,44,-2.198515131,4.198299222
7,1,45,-0.787345899,-1.212731423
7,1,46,1.432435519,-0.667608796
7,1,47,1.156546956,-0.539026651
7,1,48,0.503850035,0.765172875
7,1,49,1.234827125,1.424489662
7,1,50,-0.445950679,-0.554093116
7,1,51,-0.880594591,-0.619491889
7,1,52,-0.982531819,0.982435328
7,1,53,0.946836649,-0.441287909
7,1,54,-3.019573135,1.019276592
7,1,55,0,-1.447302598
7,1,56,1.980723408,2.076853128
7,1,57,2.066007666,-0.962894924
7,1,58,-1.211422474,-1.288696496
7,1,59,-0.62267001,2.12260886
7,1,60,-2.546833642,1.546583526
8,1,1,0,0
8,1,2,4.000000031,5.999999616
8,1,3,-7.999999969,1.666011391
8,1,4,6.000000031,7.999999424
8,1,5,3.10E-08,2
8,1,6,-9.999999424,7.582513724
8,1,7,-9.507824379,1.110886284
8,1,8,-6.110886284,0.855765505
8,1,9,-0.468195256,5.448648773
8,1,10,0.551351227,5.999999947
8,1,11,-3.999999947,5.83300566
8,1,12,4.16699434,9.9999996
8,1,13,-1.524064315,1.460436805
8,1,14,-6.760975844,0.478714754
8,1,15,-5.868941018,9.623921109
8,1,16,0,0.385875724
8,1,17,-7.040867439,6.746921274
8,1,18,-1.149270528,1.101290124
8,1,19,-10.25631837,-0.171868279
8,1,20,-8.566499661,6.208860529
8,1,21,-1.196611204,9.146654395
8,1,22,2.215391263,2.999999787
8,1,23,-4.999999787,2.791256934
8,1,24,-6.791256934,2.507731652
8,1,25,3.996590634,9.999999616
8,1,26,-6.507731743,2.236043233
8,1,27,-4.357188288,8.675281898
8,1,28,0.684699191,-6.57E-08
8,1,29,6.57E-08,-6.31E-15
8,1,30,0,9.828130699
8,1,31,0,-6.31E-15
8,1,32,-0.167118185,2.160141239
8,1,33,-5.67263832,8.435813768
8,1,34,-5.907622631,-0.33901218
8,1,35,-0.342362846,8.328069686
8,1,36,-9.636886671,9.23456041
8,1,37,-7.23456041,8.932527841
8,1,38,-1.704656409,1.633489437
8,1,39,-14.90556239,8.283276438
8,1,40,0.602297214,1.999999942
8,1,41,2.000000058,3.999999808
8,1,42,0,3.999999808
8,1,43,-16.2832765,7.603472948
8,1,44,0.459147054,7.999999956
8,1,45,0,7.999999956
8,1,46,-3.742419518,3.586178846
8,1,47,0,7.544272739
8,1,48,0.059200264,7.999999994
8,1,49,0,7.54427274
8,1,50,-3.586178847,3.436461
8,1,51,-17.48754405,6.757464046
8,1,52,0,6.757464046
8,1,53,1.524203808,-1.46E-07
8,1,54,-6.757464081,6.475349602
8,1,55,2.440253227,9.999999766
8,1,56,-5.893105598,-0.352923148
8,1,57,0.093221516,9.999999991
8,1,58,0,-0.352923146
8,1,59,0.352923146,-3.39E-08
8,1,60,-4.959715257,2.752654225
9,1,1,-1.39E-06,1.07E-06
9,1,2,0.999998614,0.29207779
9,1,3,-7.500001386,-1.693276065
9,1,4,-0.29207779,0.226135304
9,1,5,1.71107356,-1.211308654
9,1,6,-1.096662749,-0.150931112
9,1,7,3.150931112,0.769382794
9,1,8,9.999998614,2.920769075
9,1,9,0.230617206,0.836740731
9,1,10,-1.999972885,0.048438437
9,1,11,-0.048438437,0.037502477
9,1,12,5.188622289,4.326853954
9,1,13,5.673146046,5.983848351
9,1,14,0.450169981,-0.318685769
9,1,15,1.986038343,6.5940374
9,1,16,-9.601466745,-0.566259139
9,1,17,1.991019263,6.590511291
9,1,18,-4.566926494,-1.464149803
9,1,19,2.803105977,1.015616274
9,1,20,1.984383726,1.595208741
9,1,21,3.367519766,7.616054663
9,1,22,-5.616054663,6.348116401
9,1,23,0.712680463,-0.504523027
9,1,24,-3.025937161,0.842770466
9,1,25,3.897553652,-0.259168617
9,1,26,-1.103490269,0.854354956
9,1,27,3.595113239,7.454935965
9,1,28,-3.094843554,0.396119843
9,1,29,-2.056480977,-0.90781132
9,1,30,-0.270810041,0.209669181
9,1,31,1.916313047,0.143397554
9,1,32,-3.203875412,-1.519464453
9,1,33,1.357367765,0.539087881
9,1,34,-4.148304832,6.211740868
9,1,35,-0.211740868,6.163936072
9,1,36,3.836063928,7.284361384
9,1,37,0.715638616,7.493382828
9,1,38,1.38986331,-0.983916469
9,1,39,-1.016083531,-1.213317937
9,1,40,-4.608831721,-0.93170553
9,1,41,4.93170553,0.508731286
9,1,42,-1.573503636,7.218253272
9,1,43,-1.41285127,0.093871436
9,1,44,-1.093871436,-0.15309223
9,1,45,-1.909386281,-0.021696404
9,1,46,0.029227004,-1.520690474
9,1,47,0.019741316,-0.013975335
9,1,48,-2.952437325,6.285864709
9,1,49,0.693879425,0.008786664
9,1,50,1.399651583,0.009154185
9,1,51,-0.009154185,0.007087442
9,1,52,1.559788835,-1.104210688
9,1,53,-3.52968913,5.732790209
9,1,54,-0.991116872,-0.232647867
9,1,55,1.3796819,-0.976708812
9,1,56,-5.023291188,-2.110818696
9,1,57,0.110818696,-2.078451125
9,1,58,2.078451125,-1.471383752
9,1,59,1.471383752,-1.04162668
9,1,60,0.13297008,-0.094132603
10,1,1,0,0
10,1,2,1.49999999,0.084106629
10,1,3,-9.60E-09,9.40E-17
10,1,4,-2.00000001,-1.99999998
10,1,5,1.99999998,-1.887857821
10,1,6,2.91589337,0.247603921
10,1,7,4.752396079,0.514075902
10,1,8,1.887857818,-1.782003591
10,1,9,5.485924097,0.821677592
10,1,10,1.782003589,-1.682084723
10,1,11,-7.67E-09,7.51E-17
10,1,12,1.682084723,-1.587768416
10,1,13,1.587768416,-1.498740526
10,1,14,-2.50000001,-2.499999976
10,1,15,-2.000000001,-1.99999998
10,1,16,5.178322406,1.112031724
10,1,17,1.498740524,-1.414704524
10,1,18,1.999999978,-1.887857819
10,1,19,1.414704523,-1.335380513
10,1,20,2.499999972,-2.359822273
10,1,21,4.887968273,1.386105388
10,1,22,1.887857815,-1.782003588
10,1,23,8.613894611,1.869095763
10,1,24,2.359822267,-2.227504483
10,1,25,1.335380504,-1.260504277
10,1,26,1.260504277,-1.189826441
10,1,27,1.782003583,-1.682084717
10,1,28,1.682084717,-1.58776841
10,1,29,2.227504481,-2.102605899
10,1,30,2.102605899,-1.984710515
10,1,31,4.130904232,2.10072003
10,1,32,1.587768407,-1.498740517
10,1,33,1.984710513,-1.873425651
10,1,34,7.899279968,2.543641192
10,1,35,1.189826431,-1.123111578
10,1,36,1.873425647,-1.768380647
10,1,37,1.123111577,-1.060137498
10,1,38,7.456358807,2.961727285
10,1,39,1.768380644,-1.669225631
10,1,40,1.498740508,-1.414704509
10,1,41,1.669225631,-1.575630347
10,1,42,1.575630347,-1.487283051
10,1,43,1.487283051,-1.403889484
10,1,44,7.038272712,3.356370841
10,1,45,1.060137489,-1.000694435
10,1,46,1.414704504,-1.335380494
10,1,47,1.335380494,-1.260504267
10,1,48,1.40388948,-1.32517188
10,1,49,1.260504267,-1.189826431
10,1,50,1.32517188,-1.250868061
10,1,51,1.000694432,-0.944584415
10,1,52,1.250868061,-1.180730538
10,1,53,-1.356370845,2.000000013
10,1,54,1.18982643,-1.123111577
10,1,55,1.180730537,-1.114525701
10,1,56,1.123111576,-1.060137497
10,1,57,1.060137497,-1.000694443
10,1,58,1.999999985,2.112142174
10,1,59,0.944584412,-0.891620543
10,1,60,5.887857825,2.442280723
11,1,1,0,0
11,1,2,2.499999992,0.166921822
11,1,3,1.333078178,0.255929753
11,1,4,-0.500000008,7.81E-09
11,1,5,-5.000000008,4.12E-09
11,1,6,0.999999992,0.066768733
11,1,7,-0.500000008,7.74E-09
11,1,8,1.433231267,0.162463759
11,1,9,-7.82E-09,7.82E-09
11,1,10,-5.000000004,3.92E-10
11,1,11,1.573288741,0.031757744
11,1,12,1.897976619,0.228748861
11,1,13,-10,-6.80E-09
11,1,14,-0.942597513,-0.057402488
11,1,15,-2.986183635,-0.013816367
11,1,16,0.975415727,0.089711538
11,1,17,-4.486183633,-0.013816371
11,1,18,-0.833069423,-0.166930578
11,1,19,-1.749624875,-0.250375126
11,1,20,0.192576141,-0.179718078
11,1,21,3.250375126,-0.03335172
11,1,22,3.013902305,0.187332112
11,1,23,4.812667888,0.508667814
11,1,24,2.03335172,0.102412584
11,1,25,-1.948327143,-0.051672858
11,1,26,-0.073854492,0.073854492
11,1,27,9.520972818,1.114730406
11,1,28,-3.947244602,-0.052755401
11,1,29,-1.447244599,-0.052755402
11,1,30,1.288429782,-0.202402967
11,1,31,-4.947244598,-0.052755406
11,1,32,0.577732053,-0.03915762
11,1,33,-0.22508156,-0.27491844
11,1,34,-1.72508156,-0.274918441
11,1,35,0,-0.067742623
11,1,36,0.774918441,-0.223178125
11,1,37,6.565441143,1.372924996
11,1,38,0.081340408,-0.075909413
11,1,39,0.067742623,-0.063219534
11,1,40,-0.936780466,-0.063219535
11,1,41,-2.936780465,-0.063219537
11,1,42,4.68385269,1.628882186
11,1,43,-0.867312901,-0.1326871
11,1,44,0.292668666,-0.273127552
11,1,45,-2.8673129,-0.132687102
11,1,46,-1.882039253,-0.117960749
11,1,47,0.342742367,-0.319857896
11,1,48,6.453445485,1.977442847
11,1,49,8.022557153,2.513098766
11,1,50,0.319857895,-0.298501391
11,1,51,0.298501391,-0.278570834
11,1,52,1.486901234,2.612377267
11,1,53,0.778570834,-0.226586651
11,1,54,-4.839726439,-0.160273565
11,1,55,0.188900247,-0.176287618
11,1,56,3.458562232,2.772361561
11,1,57,0,-0.176287618
11,1,58,5.227638439,3.121404319
11,1,59,2.878595681,3.313604485
11,1,60,-0.202473851,-0.29752615
12,1,1,-2.241082967,-0.648815223
12,1,2,0.648815223,-0.062408778
12,1,3,0.258917033,0.475095073
12,1,4,0.062408778,-0.006003027
12,1,5,1.258917033,1.378906241
12,1,6,-0.241082967,0.145352778
12,1,7,2.621093759,3.747880053
12,1,8,-0.158436154,0.095523692
12,1,9,-2.478936829,-0.505409323
12,1,10,-0.494590677,-0.701803368
12,1,11,-2.059033757,2.741424396
12,1,12,0.825955797,-0.079447723
12,1,13,0.703799078,0.432302389
12,1,14,-4.432302389,-1.327693974
12,1,15,0.565534603,-0.054398113
12,1,16,0.054398113,-0.005232491
12,1,17,0.005232491,-0.000503307
12,1,18,3.515071274,5.6618894
12,1,19,1.307027689,-0.125721467
12,1,20,0.315996359,-0.030395321
12,1,21,0.030395321,-0.00292369
12,1,22,0.00292369,-0.000281226
12,1,23,1.123977834,0.891885885
12,1,24,4.32423243,9.584057134
12,1,25,-0.052505307,0.031656289
12,1,26,-3.910304716,-0.642414723
12,1,27,0.20412121,-0.019634181
12,1,28,0.653867364,9.937105262
12,1,29,0.016370355,-0.001574645
12,1,30,0.138050298,-0.513278897
12,1,31,1.206975967,0.883902392
12,1,32,-6.94390077,7.186588874
12,1,33,-2.086446571,-1.24204798
12,1,34,0.160595511,0.484552505
12,1,35,3.550950469,2.158438222
12,1,36,-3.079309996,5.856565264
12,1,37,-0.816605861,-0.007655261
12,1,38,-1.92352832,1.159726
12,1,39,2.308655104,7.777933162
12,1,40,2.222066838,9.786261986
12,1,41,2.817658578,3.728972713
12,1,42,0.086957228,-0.008364314
12,1,43,1.537299349,-0.147871029
12,1,44,-1.808434123,9.090333867
12,1,45,0,-0.109732936
12,1,46,0,-0.25691319
12,1,47,0.25691319,-0.02471218
12,1,48,0.908383732,9.91262363
12,1,49,0.103916273,-0.009995585
12,1,50,0.009995585,-0.000961464
12,1,51,-6.634423406,1.00000002
12,1,52,-2.01E-08,1.000000012
12,1,53,0.486839963,9.953171433
12,1,54,0.417211414,-0.040131079
12,1,55,-1.955253973,9.178853904
12,1,56,0.158025955,-0.015200332
12,1,57,0,0.88740657
12,1,58,-5.179642702,7.122889457
12,1,59,0.825901174,-0.079442469
12,1,60,-0.579215038,0.349218014
13,1,1,0,0
13,1,2,-2.000000002,-0.054463096
13,1,3,0.499999998,0.000189763
13,1,4,-4.945536904,-0.189137727
13,1,5,-2.310862273,-0.252066087
13,1,6,0,0
13,1,7,1.999810237,0.000948734
13,1,8,0,0.021722225
13,1,9,-2.500000002,-0.068078871
13,1,10,0,0.000948734
13,1,11,-0.021722225,0.021130695
13,1,12,0.978869305,0.021502197
13,1,13,0.478497803,0.021683797
13,1,14,-7.285486264,-0.412908814
13,1,15,0.052248742,-0.052228913
13,1,16,0.052228913,-0.052209091
13,1,17,0.052209091,-0.052189277
13,1,18,0.052189277,-0.05216947
13,1,19,0.410639973,-0.410484126
13,1,20,-0.589515874,-0.426537556
13,1,21,-2.573462444,-0.496616925
13,1,22,-5.95229096,-0.209799144
13,1,23,1.476491868,0.024068492
13,1,24,-0.544450931,0.029624689
13,1,25,0.19376128,-0.193687743
13,1,26,1.968270648,0.032476352
13,1,27,-3.542905236,-0.553573562
13,1,28,-0.327691892,-0.181231666
