subject,subjNum,condition,runNum,trial,playerNum,endowment,propReturned,returned,trialRT,optimal_choice,binned_trial_num,delta,q_val
2,4002,1,1,13,1,0,0.2,0,0.84752021,0,4,-4.54E-08,3.99E-08
2,4002,1,1,14,3,2.5,0.3,3,0.709225091,10,4,-0.026893346,0.523628895
2,4002,1,1,15,3,2.5,0.25,2.5,1.021607017,10,5,-0.523628895,0.460068152
2,4002,1,1,16,3,5,0.2,4,1.234217523,0,6,-1.460068152,0.282837642
2,4002,1,1,17,2,10,0.45,18,0.707403402,10,4,-0.677315842,8.595099795
2,4002,1,1,18,2,10,0.35,14,0.662843815,10,5,-4.595099795,8.037323175
2,4002,1,1,19,1,0,0.05,0,1.585341783,0,5,0.082669505,-0.035715765
2,4002,1,1,20,1,2.5,0,0,1.477546205,0,6,-2.464284235,-0.334843138
2,4002,1,1,21,2,10,0.45,18,0.592650325,10,6,-0.009351251,8.008216148
2,4002,1,1,22,3,2.5,0.25,2.5,1.169490485,10,7,-0.194912278,0.171252833
2,4002,1,1,23,4,7.5,0.5,15,2.112602742,10,4,5.795167923,4.996309518
2,4002,1,1,24,1,0,0.1,0,0.846729501,0,7,0.337146658,-0.145657708
2,4002,1,1,25,2,10,0.4,16,0.644442095,10,7,-2.006019652,7.762518768
2,4002,1,1,26,4,10,0.35,14,1.567979352,10,5,-0.973540026,4.855366779
2,4002,1,1,27,2,10,0.3,12,0.974289528,10,8,-5.751468096,7.053325601
2,4002,1,1,28,2,10,0.4,16,1.299920535,10,9,-1.053325601,6.925467574
2,4002,1,1,29,1,0,0.05,0,0.9882795,0,8,0.256720096,-0.110910964
2,4002,1,1,30,3,5,0.35,7,1.797035788,10,8,1.93979293,1.161949893
2,4002,1,2,31,4,5,0.15,3,1.414550163,0,6,-6.778131147,3.955367061
2,4002,1,2,32,4,7.5,0.25,7.5,1.273889703,10,7,-3.955367061,3.475244459
2,4002,1,2,33,4,10,0.1,4,0.626810186,0,8,-9.475244459,2.32509102
2,4002,1,2,34,3,2.5,0.2,2,1.254619233,0,9,-1.432560056,0.758668619
2,4002,1,2,35,4,7.5,0.3,9,1.898518789,10,9,-0.808830003,2.210650097
2,4002,1,2,36,2,10,0.5,20,1.079586148,10,10,3.32935861,8.561614853
2,4002,1,2,37,2,10,0.5,20,0.56663137,10,11,1.438385147,9.378573451
2,4002,1,2,38,2,10,0.5,20,0.872409717,10,12,0.621426549,9.73152465
2,4002,1,2,39,4,10,0.4,16,0.562573101,10,10,3.78933588,4.362890549
2,4002,1,2,40,1,5,0.05,1,1.82992778,0,9,-3.634286067,-0.806862089
2,4002,1,2,41,4,10,0.25,10,0.822055766,10,11,-4.321637696,3.797055298
2,4002,1,2,42,2,10,0.45,18,0.614771799,10,13,-1.641226662,9.44200621
2,4002,1,2,43,3,5,0.15,3,2.083284115,0,10,-2.640574013,0.320047689
2,4002,1,2,44,1,0,0,0,1.787098777,0,10,0.904519888,-0.390780365
2,4002,1,2,45,4,10,0.25,10,1.285356744,10,12,-3.748454848,3.293448304
2,4002,1,2,46,1,2.5,0.15,1.5,1.1787736,0,11,-0.56667085,-0.502114544
2,4002,1,2,47,1,0,0,0,0.955096741,0,12,0.502114544,-0.2169289
2,4002,1,2,48,3,2.5,0.35,3.5,1.262044739,10,11,0.728929728,0.685079976
2,4002,1,2,49,2,10,0.35,14,0.933382972,10,14,-5.363057482,8.712062246
2,4002,1,2,50,4,10,0,0,0.928542922,0,13,-13.22614304,1.620686429
2,4002,1,2,51,1,0,0.1,0,1.183185743,0,13,0.427933386,-0.184880362
2,4002,1,2,52,3,5,0.3,6,1.813773043,10,12,0.525925293,0.772784125
2,4002,1,2,53,1,0,0.1,0,0.762012078,0,14,0.184878994,-0.079873402
2,4002,1,2,54,3,7.5,0.25,7.5,1.5778417,10,13,-0.772784606,0.678980074
2,4002,1,2,55,4,10,0.2,8,0.983012381,0,14,-3.611917498,1.173484554
2,4002,1,2,56,3,7.5,0.25,7.5,1.905719477,10,14,-0.637981127,0.560539728
2,4002,1,2,57,4,10,0.2,8,1.017049959,0,15,-3.166242817,0.781908136
2,4002,1,2,58,3,7.5,0.25,7.5,1.927691487,10,15,-0.524599644,0.460921067
2,4002,1,2,59,2,10,0.4,16,1.946472688,10,15,-2.463027596,8.16405276
2,4002,1,2,60,1,0,0.05,0,1.653927236,0,15,0.206738679,-0.089317457
3,4003,1,1,1,1,2.5,0,0,1.500770949,0,1,-2.500000001,-0.47188029
3,4003,1,1,2,1,-1,0.05,-1,-1,0,2,0,-0.47188029
3,4003,1,1,3,3,2.5,0.25,2.5,1.278302069,10,1,-1.42E-09,1.16E-09
3,4003,1,1,4,4,2.5,0.5,5,1.488424214,10,1,2.499999999,0.014735452
3,4003,1,1,5,2,2.5,0.45,4.5,1.921355815,10,1,1.999999999,0.011788362
3,4003,1,1,6,2,5,0.5,10,2.208418183,10,2,4.988211638,0.041189779
3,4003,1,1,7,3,5,0.15,3,2.06960161,0,2,-2.000000002,-0.377504232
